,A_1,B_1,A_2,B_2,A_3,B_3,A_0
CKAP2,-0.9168334,0.66586757,0.25065082,0.018613353,-0.023276214,-0.019858366,-8.616759
CKAP2L,-0.423805,1.2708089,0.35324848,0.078839615,-0.0071416255,-0.05943404,-10.083055
CKAP5,-0.5527437,0.24700032,0.113718554,0.032056745,0.025326645,-0.0152121205,-9.030322
CKS1B,-0.41716796,0.2732105,0.10969806,0.047150575,0.071929574,-0.037025746,-9.0482435
CKS2,-0.7676523,0.5843871,0.21840352,-0.0142097175,-0.02719282,-0.031886976,-8.1603365
CLSPN,0.28184962,0.61038536,0.25728142,0.21193375,0.038198676,-0.15209535,-8.679492
CTCF,0.021594994,0.24329732,-0.019180128,-0.054835062,0.031251576,-0.009850595,-9.783698
DLGAP5,-0.8845655,0.03658995,0.12519515,-0.007649731,0.1494,-0.07450761,-8.671401
DSCC1,0.40358266,0.54028046,0.28820527,0.2465202,0.019371718,-0.16507387,-11.180504
DTL,0.4745492,0.33213106,0.4836982,0.16869815,0.06528248,-0.12483767,-11.042395
E2F8,0.30232212,1.2125304,0.38662452,-0.03740579,0.06988533,0.17197867,-11.96415
ECT2,-0.616757,0.61025935,0.19890445,0.12112294,0.0063662743,-0.053512648,-9.06766
ESCO2,0.02378136,1.3231528,0.27719587,0.21352372,0.045671564,-0.038094882,-10.487642
EXO1,0.4556159,0.87957114,0.22475459,0.29277724,0.102534644,-0.060131367,-11.976145
FEN1,0.007840276,0.83804464,-0.031857178,0.40400147,-0.07836436,-0.56206805,-15.689738
G2E3,-0.5101715,0.53550136,0.20425245,-0.18618621,-0.065914005,0.042281725,-9.980503
GAS2L3,-0.9430082,0.8988185,0.29822138,-0.13386706,-0.007431904,0.030753206,-10.256382
GINS2,0.28732306,0.2949007,0.21455383,0.11841306,0.049759064,-0.113943905,-9.491712
GMNN,0.12397911,0.113465846,0.13743046,0.0658225,0.009953512,-0.049920212,-8.38457
GTSE1,-0.8094639,0.90821546,0.18340904,0.081284195,0.04607842,-0.013594323,-9.362061
HELLS,0.3458006,0.48991853,0.18858135,0.1318245,0.04640805,-0.13194135,-9.035343
HJURP,-0.6080461,1.4598964,0.3350636,-0.1885809,-0.0009422675,0.09464843,-10.238843
HMGB2,-0.49520478,1.028136,0.41468456,0.08092114,0.0019915625,-0.11386251,-8.00039
HMMR,-0.95468765,0.56870675,0.07965228,0.23822653,0.04351858,-0.049928643,-9.298593
JPT1,-0.18536754,-0.0738726,0.09554975,0.00032240525,0.050002918,0.011260695,-7.494801
KIF11,-0.6216147,1.0990425,0.30737367,0.1266096,0.0027143117,-0.029927066,-8.9656315
KIF20B,-0.7082348,0.7651159,0.29337397,0.16447538,0.045823038,-0.0530722,-8.528041
KIF23,-0.76189345,1.1032176,0.30166706,0.11195219,-0.0068481877,-0.017124107,-9.366264
KIF2C,-1.0576363,0.99065566,0.2536334,0.1632096,0.047868513,-0.0033072922,-10.158851
LBR,-0.22560072,0.22375637,0.14028415,0.026619215,0.017759737,-0.030767629,-9.25864
MCM2,0.29861486,0.36222506,0.18572395,0.13217273,0.050097443,-0.124606974,-10.355557
MCM4,0.25998068,0.28029716,0.19362725,0.1510821,-0.005252246,-0.10440709,-9.191869
MCM5,0.28971505,0.31423402,0.1407196,0.10793147,0.036179528,-0.09664466,-9.54829
MCM6,0.43476486,0.2506256,0.124300346,0.15769905,0.058017895,-0.11583528,-9.746764
MKI67,-0.7292316,0.87728924,0.13436474,0.19128756,0.09538082,0.010927526,-7.8959107
MSH2,0.34568357,0.39398468,0.13966057,0.16751987,-0.015160079,-0.10955205,-10.118316
NASP,0.17194703,0.07281812,0.14315277,0.18369597,0.04456134,-0.095531,-8.878117
NCAPD2,-0.4388026,0.20362855,0.068741664,0.025887247,0.078864634,-0.04523609,-8.903935
NDC80,-0.82014114,1.0089023,0.27451333,0.16823213,0.010331156,-0.021776294,-9.950858
NEK2,-1.2933984,0.6047187,0.35429943,-0.01207225,0.10875084,-0.06200586,-11.641975
NUF2,-0.97337854,1.0544791,0.2797044,0.21471296,0.013009261,-0.02865521,-9.842933
NUSAP1,-0.7316824,0.6514982,0.11729051,0.11893983,0.070197836,-0.034607165,-8.684326
PCNA,0.36164257,0.33302766,0.12498033,0.18538725,0.028559914,-0.11597809,-8.650795
PIMREG,-1.0589291,0.24781686,0.16131526,0.0862557,0.13996005,0.03975307,-10.777099
POLA1,0.18455791,0.46130633,0.074718855,0.12072497,0.036350816,-0.08140407,-10.65428
POLD3,0.32202625,0.5255337,0.16943344,0.1443399,0.08314258,-0.15507606,-10.3859415
PRIM1,0.44225088,0.47276527,0.21212828,0.19563594,0.068217084,-0.14861089,-10.126212
PSRC1,-0.7343481,0.7177504,0.22544266,-0.090189256,0.023034643,0.021699013,-10.919832
RAD51,0.13299076,0.48567033,0.41695315,0.18733276,0.06488668,-0.08923776,-10.903854
RAD51AP1,-0.1336282,0.90769625,0.24867304,0.1760345,0.0414041,-0.082514405,-9.780961
RANGAP1,-0.24620575,0.2223753,0.07522015,0.006443657,0.014692148,-0.02590414,-8.725063
RFC2,0.19167396,0.38954023,0.1487422,0.08145468,0.02493547,-0.08815599,-9.729553
RPA2,0.14156017,0.3141446,0.181198,0.18457891,0.02027065,-0.089580655,-10.644447
RRM1,-0.07107815,0.3822767,0.09335644,0.115463234,0.049977973,-0.07023481,-8.464715
RRM2,-0.07540947,0.8214003,0.23865955,0.22052936,0.023409626,-0.11274434,-10.515712
SLBP,0.3216843,-0.023233555,0.26652688,0.22388203,0.003871983,-0.105055965,-8.849756
SMC4,-0.4706096,0.43101296,0.1260807,0.12987985,0.040517323,-0.059023444,-8.130591
TACC3,-0.68885815,0.70818615,0.20422906,0.16795185,0.042042505,-0.00030453876,-9.745187
TIPIN,0.30902803,0.11176003,0.23801629,0.18214822,0.03682233,-0.11183391,-10.103611
TMPO,-0.2953928,0.5652093,0.20602578,0.075902015,0.032641552,-0.07956825,-8.426375
TOP2A,-0.48270237,1.185079,0.06718079,-0.07262911,0.0683287,0.103913374,-7.9914365
TPX2,-0.80163795,0.52516365,0.14444038,0.17441694,0.06477159,-0.05122866,-7.951385
TTK,-0.7665031,1.1625382,0.32521307,0.07159647,0.027664445,0.027568411,-10.47265
TUBB4B,-0.30532044,0.17507502,0.106290296,0.030421566,0.04850881,-0.043228086,-6.750406
TYMS,-0.015541568,0.3267981,0.104148716,0.10699574,0.04331668,-0.05837801,-8.028856
UBE2C,-0.5536365,1.0775452,0.024770435,-0.13346511,0.053833455,0.14807518,-8.946357
UBR7,0.09718628,0.46582195,0.12697527,0.117576905,-0.000561472,-0.046521567,-10.523674
UHRF1,0.1300084,0.29388434,0.31800932,0.09799026,0.05332143,-0.056632906,-10.054288
UNG,0.8032906,-0.08518261,0.20737365,0.25781214,0.03249541,-0.15300941,-10.337291
USP1,0.25277495,0.5406306,0.2140705,-0.0036349744,0.023437688,-0.12209286,-8.809962
WDR76,0.5290606,0.19531795,0.30809182,0.23854244,0.015126225,-0.17403904,-9.993796
